"Year","Month","Mesic_median","Date","Event"
2022,5,19.097,2022-05-15,"post"
2022,6,61.111,2022-06-15,"post"
2022,7,51.505,2022-07-15,"post"
2022,8,43.2295,2022-08-15,"post"
2022,9,32.986,2022-09-15,"post"
2022,10,8.218,2022-10-15,"post"
2023,5,18.576,2023-05-15,"post"
2023,6,23.611,2023-06-15,"post"
2023,7,35.417,2023-07-15,"post"
2023,8,27.4305,2023-08-15,"post"
2023,9,29.745,2023-09-15,"post"
2023,10,0,2023-10-15,"post"
2024,5,14.0625,2024-05-15,"post"
2024,6,31.134,2024-06-15,"post"
2024,7,26.215,2024-07-15,"post"
2024,8,28.8195,2024-08-15,"post"
2024,9,24.537,2024-09-15,"post"
2024,10,1.2155,2024-10-15,"post"
